grab,0.0005,0.0005,1,0.0005
grtp,0.0005,0.0005,0.0005,1
guess,0.909774078478,0.0005,0.090225921521998,0.0005
gui,1,0.0005,0.0005,0.0005
gurgaon,0.0005,1,0.0005,0.0005
h,0.37542509074529,0.0005,0.44678883133239,0.17778607792232
ha,0.04467288059158,0.39483211747401,0.038665201086907,0.5218298008475
had,1,0.0005,0.0005,0.0005
haha,1,0.0005,0.0005,0.0005
hai,0.84537677031572,0.0005,0.06287953784853,0.091743691835751
happen,0.88321122945269,0.0005,0.11678877054731,0.0005
happi,0.37243552710858,0.0005,0.33825522770957,0.28930924518185
have,0.13714583729624,0.27722569619365,0.025418821675897,0.56020964483421
havent,0.909774078478,0.0005,0.090225921521998,0.0005
hdfc,0.0005,0.88976745913541,0.060113620441539,0.050118920423047
he,1,0.0005,0.0005,0.0005
hei,0.89104580690609,0.0005,0.036991491983766,0.071962701110142
her,0.83037131424228,0.0005,0.0005,0.16962868575772
here,0.37325992331065,0.0005,0.3654002691599,0.26133980752945
hi,0.33976387375939,0.11999267233114,0.094634837472133,0.44560861643733
hike,0.75015310994376,0.0005,0.06376772045005,0.18607916960619
him,1,0.0005,0.0005,0.0005
hmm,1,0.0005,0.0005,0.0005
ho,0.62764442958678,0.29766037073153,0.074695199681689,0.0005
home,0.63682033315688,0.0005,0.29575497677231,0.067424690070805
hour,0.17417294730462,0.27533840086406,0.26485918945518,0.28562946237614
how,0.79837648387987,0.0005,0.17595150679866,0.02567200932147
hp,0.077630452952337,0.0005,0.046193528623144,0.87617601842452
hr,0.047013308800781,0.0005,0.76931204104917,0.18367465015005
http,0.014086204671846,0.2338133897968,0.39394978743322,0.35815061809813
hun,1,0.0005,0.0005,0.0005
hurri,0.0005,0.0005,0.98369042503121,0.016309574968793
i,0.74204021408106,0.0005,0.23793180020222,0.020027985716723
icicidirect,0.0005,0.85668219276245,0.14331780723755,0.0005
id,0.070961248915475,0.39262267681191,0.0281500395635,0.50826603470911
idea,0.025782971754382,0.0005,0.97421702824562,0.0005
if,0.35911997764573,0.29619591199737,0.046454816812636,0.29822929354426
ignor,0.0005,0.31661609759926,0.026483989761544,0.6568999126392
ikr,1,0.0005,0.0005,0.0005
ill,1,0.0005,0.0005,0.0005
im,0.3608494614493,0.0005,0.63440377044607,0.0047467681046343
imo,0.0005,0.0005,1,0.0005
imobil,0.0005,0.88851727982163,0.11148272017837,0.0005
imp,0.0005,1,0.0005,0.0005
in,0.086423605934032,0.45768141210873,0.22913069065663,0.22676429130061
india,0.0005,0.061275237248921,0.6919411985449,0.24678356420618
info,0.0005,0.34347230058043,0.039177860223615,0.61734983919595
inform,0.0005,0.52995811022807,0.15958588011887,0.31045600965306
inr,0.0042246366700404,0.83146658541817,0.017596910395692,0.1467118675161
instal,0.0005,0.0005,1,0.0005
instant,0.0005,0.0005,0.84894574745321,0.15105425254679
instantli,0.0005,0.0005,1,0.0005
interest,0.0005,0.0005,0.92868487573541,0.071315124264591
internet,0.01290665514237,0.030604906006346,0.28416098424964,0.67232745460165
into,0.21646570198861,0.38497072188036,0.25761319741053,0.1409503787205
is,0.070309966351043,0.27428541590985,0.06073188041402,0.59467273732508
isnt,0.93076895003832,0.0005,0.06923104996168,0.0005
issu,0.0005,0.78748352291869,0.039522385090022,0.17299409199129
it,0.46916883741795,0.039035670376397,0.1273434667235,0.36445202548215
item,0.0005,0.35994435826498,0.11290600949341,0.52714963224162
iv,1,0.0005,0.0005,0.0005
jan,0.0062510109247004,0.50397212827666,0.11530840635159,0.37446845444705
jio,0.0005,0.0005,0.091156878832969,0.90884312116703
john,0.0005,1,0.0005,0.0005
journei,0.2476060966627,0.0005,0.0005,0.7523939033373
jul,0.0005,0.91614255765199,0.0005,0.083857442348008
jun,0.0005,1,0.0005,0.0005
just,0.35744496793332,0.0005,0.56497229703584,0.077582735030837
k,0.75043080978904,0.11605167767689,0.048536878994934,0.084980633539139
ka,0.12131417636188,0.0005,0.03609363120428,0.84259219243384
kai,1,0.0005,0.0005,0.0005
kannada,0.0005,0.0005,1,0.0005
karnataka,0.0005,0.61579149298056,0.30905470162136,0.075153805398085
karo,0.0005,0.88851727982163,0.11148272017837,0.0005
kb,0.0005,0.0005,0.078912203402073,0.92108779659793
keep,0.30105257978919,0.0005,0.071655802240915,0.6272916179699
kinda,1,0.0005,0.0005,0.0005
kitti,0.0005,0.84526112185687,0.0005,0.15473887814313
kkbk,0.0005,1,0.0005,0.0005
know,0.52929206793959,0.0005,0.40943763135064,0.061270300709773
koramangala,0.0005,0.84526112185687,0.0005,0.15473887814313
kvr,0.0005,1,0.0005,0.0005
kya,1,0.0005,0.0005,0.0005
l,0.024208926997084,0.0005,0.71306604718216,0.26272502582076
lab,1,0.0005,0.0005,0.0005
last,0.19376050034724,0.0005,0.32026668510273,0.48597281455003
later,1,0.0005,0.0005,0.0005
leav,0.97580634876098,0.0005,0.024193651239016,0.0005
left,0.4067017020292,0.0005,0.17600390755091,0.41729439041989
lenskart,0.0005,0.0005,0.85590743363365,0.14409256636635
let,0.7362568922696,0.0005,0.12169588427396,0.14204722345644
like,0.72849479241915,0.0005,0.17849439716093,0.093010810419917
limit,0.0005,0.2219104697094,0.72392374058274,0.054165789707863
link,0.06658634973316,0.052630960601585,0.26414534806316,0.61663734160209
littl,0.0005,0.0005,0.75919631392099,0.24080368607901
load,0.0005,0.42195929533116,0.42354759882676,0.15449310584207
loan,0.089962468606259,0.0005,0.91003753139374,0.0005
loc,0.0005,0.0005,1,0.0005
local,0.011223859625486,0.0005,0.88158699675666,0.10718914361786
login,0.043217263170387,0.0005,0.0005,0.95678273682961
look,0.50413000769909,0.0005,0.34997607550378,0.14589391679713
lot,0.77277363496198,0.0005,0.13138121397409,0.095845151063934
love,0.04938770371324,0.23422118486004,0.58775705109169,0.12863406033503
lunch,0.72533973152419,0.0005,0.27466026847581,0.0005
ly,0.0005,0.074970149830951,0.81523374973013,0.10979610043892
m,0.014085381502727,0.44533281184456,0.34084443566522,0.19973737098749
made,0.027815068701123,0.79147777989045,0.13240949893609,0.048297652472339
mai,0.2463462446266,0.33379916146904,0.083763905011051,0.33609068889331
main,0.35327494296356,0.0005,0.59560663088832,0.051118426148121
maintain,0.0005,0.91614255765199,0.0005,0.083857442348008
make,0.1646762574349,0.0005,0.67192871916974,0.16339502339536
man,1,0.0005,0.0005,0.0005
mar,0.0005,0.87225548902196,0.0005,0.12774451097804
martyr,0.0005,0.5772787318362,0.0005,0.4227212681638
mb,0.0053599922588202,0.012709881643727,0.73994794011161,0.24198218598584
me,0.72289226334615,0.055896465634551,0.02337786099312,0.19783341002618
meal,0.0005,0.0005,0.92095802444648,0.079041975553517
meet,0.97875628520555,0.0005,0.0005,0.02124371479445
might,1,0.0005,0.0005,0.0005
min,0.074754553788399,0.0005,0.82494340314432,0.10030204306728
mini,0.0005,0.0005,0.85349601341881,0.14650398658119
minut,0.047947325714364,0.0005,0.057061528783029,0.89499114550261
miss,0.021693345817352,0.0005,0.19104570258145,0.7872609516012
mob,0.028197768066049,0.0005,0.9228400662394,0.048962165694549
mobil,0.0094564233702569,0.35877670266755,0.18569057697662,0.44607629698558
mojo,0.0005,0.0005,1,0.0005
mom,1,0.0005,0.0005,0.0005
monei,0.012844037439027,0.30456423777294,0.35921001694675,0.32338170784129
month,0.0005,0.0005,0.65562850318662,0.34437149681338
more,0.049998533301325,0.13549602524659,0.68428042862927,0.13022501282281
movi,0.07629261833782,0.36181774246711,0.36317966621542,0.19870997297965
mrp,0.0005,0.090228230488986,0.24906161490059,0.66071015461042
msg,0.15403646270561,0.0005,0.7790969080604,0.06686662923399
msw,0.0005,1,0.0005,0.0005
much,0.68361487693884,0.0005,0.31638512306116,0.0005
mumbai,0.0005,0.92280972597453,0.077190274025473,0.0005
must,0.0005,0.74929489188342,0.25070510811658,0.0005
my,0.48480380810287,0.11892320999627,0.33821741027797,0.058055571622892
myairtel,0.0005,0.0005,1,0.0005
myvodafon,0.0005,0.0005,0.1340220639135,0.8659779360865
n,0.10327708864658,0.0005,0.79890724062528,0.097815670728139
